target	role	source	sha256	bytes	note
figures/main/figure1_workflow_v3.svg	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	e1c083e4f44d001e5087c907a8233f3ac52b94c1931bfae3897fcde2c9497392	243708	Zenodo, cohort, and per-sample recipe-specific cache workflow
figures/main/figure1_workflow_v3.pdf	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	a00c39984c99a32c617a99f066c48ae6e073d249355ca3a425f9c8c10b07809e	19847	Zenodo, cohort, and per-sample recipe-specific cache workflow
figures/main/figure1_workflow_v3.png	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	8dd443399c0a62344b5778d53eac6bdd9b89dfe62ced5bbceb858e62f9b45a84	332483	Zenodo, cohort, and per-sample recipe-specific cache workflow
figures/main/figure2_assay_annotator_v3.svg	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	26072bbf5b46520b5170259278ff4b3c22cf39ee6db4455764025252e015cfc0	167169	matched Panel, WES, and WGS use-case boundary for VEP and fastVEP
figures/main/figure2_assay_annotator_v3.pdf	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	7b114729f2989d43937dd9edcd55340ff3ce6662f4b6809ebb555a73e5043c27	24925	matched Panel, WES, and WGS use-case boundary for VEP and fastVEP
figures/main/figure2_assay_annotator_v3.png	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	5917c4d97005dd97ee8d2e31c3bcbbda41c0d9b2876a21176cee4964648a2788	303671	matched Panel, WES, and WGS use-case boundary for VEP and fastVEP
figures/main/figure3_pipeline_complexity_v3.svg	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	d7ae7bd52ad9fecb2831d985aa1fac690a0759ba670f56354effd8ec1139cab2	244587	absolute time returned and hit-rate speedup ceilings
figures/main/figure3_pipeline_complexity_v3.pdf	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	3472114aae5137c08506d3f3db06850af61b4bc8208106a910fd42ed3a0f11e7	30230	absolute time returned and hit-rate speedup ceilings
figures/main/figure3_pipeline_complexity_v3.png	main	drafts/gigascience_technical_note/scripts/render_publication_figures_v3.R	2cfc61d862b9637ce8c1d67aa88be1a9493d35f21a9ca419dcb233072c2d8d3d	420344	absolute time returned and hit-rate speedup ceilings
supplement/figures/supplementary_figure1_external_wgs_v2.svg	supplement	drafts/gigascience_technical_note/scripts/render_publication_figures.R	f40282c56fc20b66e492e70bf37dd54888d457ad541cb1bbbb4f0ea1e16f709b	269082	cache coverage and wall time returned in 52 independent WGS samples
supplement/figures/supplementary_figure1_external_wgs_v2.pdf	supplement	drafts/gigascience_technical_note/scripts/render_publication_figures.R	9ace828a021122871a7d6c6eb96946c428c5045d6e41935d089d96a22740274d	37294	cache coverage and wall time returned in 52 independent WGS samples
