tool	assay	cohort	sample	assembly	input_records	cache_strategy	cache_kind	cache_hit_rate	uncached_wall_seconds	cached_wall_seconds	relative_runtime	speedup	wall_seconds_saved	semantic_pass	semantic_comparator	records_compared	raw_annotation_mismatches	ignored_annotation_mismatches	source_campaign	assay_label	tool_label	time_saved_percent
fastvep	panel	kpgp	KPGP-00128	GRCh38	289	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.889273356401384	9.82317256578244	27.5480417970102	2.80439355132269	0.356583333151779	-17.7248692312278	True	fastvep_complete_record_and_header_v2	289	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-180.439355132269
fastvep	panel	kpgp	KPGP-00139	GRCh38	242	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.834710743801653	5.65170697215945	22.9091630021576	4.05349447786467	0.246700718469163	-17.2574560299981	True	fastvep_complete_record_and_header_v2	242	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-305.349447786467
fastvep	panel	kpgp	KPGP-00231	GRCh38	224	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.866071428571429	10.1590795048978	32.615267761983	3.21045501674229	0.311482327204422	-22.4561882570852	True	fastvep_complete_record_and_header_v2	224	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-221.045501674229
fastvep	panel	kpgp	KPGP-00320	GRCh38	267	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.928838951310861	9.05848468607292	26.9369111228734	2.97366635330166	0.336285205261747	-17.8784264368005	True	fastvep_complete_record_and_header_v2	267	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-197.366635330167
fastvep	panel	kpgp	KPGP-00325	GRCh38	257	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.918287937743191	9.1342183467932	29.4311343799345	3.22207475916831	0.310359030979815	-20.2969160331413	True	fastvep_complete_record_and_header_v2	257	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-222.207475916831
fastvep	panel	kpgp	KPGP-00327	GRCh38	253	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.881422924901186	5.71849788795225	22.7296662498266	3.97476167608866	0.251587411143615	-17.0111683618743	True	fastvep_complete_record_and_header_v2	253	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-297.476167608866
fastvep	panel	sgdp	LP6005442-DNA_B04	GRCh38	247	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.975708502024291	8.91587803396396	29.3161145697813	3.28807936336782	0.304128912197469	-20.4002365358174	True	fastvep_complete_record_and_header_v2	247	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-228.807936336782
fastvep	panel	sgdp	LP6005443-DNA_B07	GRCh38	245	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.938775510204082	10.9259584988467	27.7596147737931	2.54070293024848	0.393591863139309	-16.8336562749464	True	fastvep_complete_record_and_header_v2	245	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-154.070293024848
fastvep	panel	sgdp	LP6005519-DNA_A06	GRCh38	281	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.932384341637011	8.67845807084814	28.68648983608	3.30548233360036	0.302527709749031	-20.0080317652319	True	fastvep_complete_record_and_header_v2	281	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-230.548233360036
fastvep	panel	sgdp	LP6005519-DNA_B04	GRCh38	269	gnomad_af_0.01	locally_built_fastvep_from_bundled_blueprint	0.877323420074349	8.94197469996288	29.1739682350308	3.26258675672073	0.306505259343697	-20.2319935350679	True	fastvep_complete_record_and_header_v2	269	0	0	external-assay-v3-independent-af001-warm	Panel	fastVEP	-226.258675672073
